TopLeft,TopMid,TopRight,MidLeft,MidMid,MidRight,BotLeft,BotMid,BotRight,StateID,Action,numVisit,qvalue
0,0,0,0,0,1,2,0,2,30,7,0,0.0
0,0,0,0,0,1,2,1,0,31,0,22,0.6999996197503962
0,0,0,0,0,1,2,1,0,31,1,21,0.0
0,0,0,0,0,1,2,1,0,31,2,22,0.6999990274118713
0,0,0,0,0,1,2,1,0,31,3,22,0.6995357525326511
0,0,0,0,0,1,2,1,0,31,4,160,0.6999999999999994
0,0,0,0,0,1,2,1,0,31,8,21,0.0
0,0,0,0,0,1,2,1,2,32,0,14,0.0
0,0,0,0,0,1,2,1,2,32,1,14,0.0
0,0,0,0,0,1,2,1,2,32,2,14,0.0
0,0,0,0,0,1,2,1,2,32,3,13,0.0
0,0,0,0,0,1,2,1,2,32,4,13,0.0
0,0,0,0,0,1,2,2,0,33,0,0,0.0
0,0,0,0,0,1,2,2,0,33,1,0,0.0
0,0,0,0,0,1,2,2,0,33,2,0,0.0
0,0,0,0,0,1,2,2,0,33,3,0,0.0
0,0,0,0,0,1,2,2,0,33,4,0,0.0
0,0,0,0,0,1,2,2,0,33,8,0,0.0
0,0,0,0,0,1,2,2,1,34,0,22,-0.7142215331717642
0,0,0,0,0,1,2,2,1,34,1,22,-0.7118201636889098
0,0,0,0,0,1,2,2,1,34,2,100,0.0
0,0,0,0,0,1,2,2,1,34,3,21,-0.7140048425728239
0,0,0,0,0,1,2,2,1,34,4,21,-0.7142402660538778
0,0,0,0,0,2,0,0,0,35,0,0,0.0
0,0,0,0,0,2,0,0,0,35,1,0,0.0
0,0,0,0,0,2,0,0,0,35,2,0,0.0
0,0,0,0,0,2,0,0,0,35,3,0,0.0
0,0,0,0,0,2,0,0,0,35,4,0,0.0
0,0,0,0,0,2,0,0,0,35,6,0,0.0
0,0,0,0,0,2,0,0,0,35,7,0,0.0
0,0,0,0,0,2,0,0,0,35,8,0,0.0
0,0,0,0,0,2,0,0,1,36,0,134,0.0
0,0,0,0,0,2,0,0,1,36,1,134,0.0
0,0,0,0,0,2,0,0,1,36,2,134,0.0
0,0,0,0,0,2,0,0,1,36,3,135,0.0
0,0,0,0,0,2,0,0,1,36,4,134,0.0
0,0,0,0,0,2,0,0,1,36,6,134,0.0
0,0,0,0,0,2,0,0,1,36,7,134,0.0
0,0,0,0,0,2,0,1,0,37,0,134,0.0
0,0,0,0,0,2,0,1,0,37,1,134,0.0
0,0,0,0,0,2,0,1,0,37,2,134,0.0
