TopLeft,TopMid,TopRight,MidLeft,MidMid,MidRight,BotLeft,BotMid,BotRight,StateID,Action
0,0,0,0,0,0,2,1,0,113,3
0,0,0,0,0,0,2,1,0,114,4
0,0,0,0,0,0,2,1,0,115,5
0,0,0,0,0,0,2,1,0,116,8
0,0,0,0,0,0,2,1,1,117,0
0,0,0,0,0,0,2,1,1,118,1
0,0,0,0,0,0,2,1,1,119,2
0,0,0,0,0,0,2,1,1,120,3
0,0,0,0,0,0,2,1,1,121,4
0,0,0,0,0,0,2,1,1,122,5
0,0,0,0,0,0,2,1,2,123,0
0,0,0,0,0,0,2,1,2,124,1
0,0,0,0,0,0,2,1,2,125,2
0,0,0,0,0,0,2,1,2,126,3
0,0,0,0,0,0,2,1,2,127,4
0,0,0,0,0,0,2,1,2,128,5
0,0,0,0,0,0,2,2,1,129,0
0,0,0,0,0,0,2,2,1,130,1
0,0,0,0,0,0,2,2,1,131,2
0,0,0,0,0,0,2,2,1,132,3
0,0,0,0,0,0,2,2,1,133,4
0,0,0,0,0,0,2,2,1,134,5
0,0,0,0,0,1,0,0,0,135,0
0,0,0,0,0,1,0,0,0,136,1
0,0,0,0,0,1,0,0,0,137,2
0,0,0,0,0,1,0,0,0,138,3
0,0,0,0,0,1,0,0,0,139,4
0,0,0,0,0,1,0,0,0,140,6
0,0,0,0,0,1,0,0,0,141,7
0,0,0,0,0,1,0,0,0,142,8
0,0,0,0,0,1,0,0,2,143,0
0,0,0,0,0,1,0,0,2,144,1
0,0,0,0,0,1,0,0,2,145,2
0,0,0,0,0,1,0,0,2,146,3
0,0,0,0,0,1,0,0,2,147,4
0,0,0,0,0,1,0,0,2,148,6
0,0,0,0,0,1,0,0,2,149,7
0,0,0,0,0,1,0,1,2,150,0
0,0,0,0,0,1,0,1,2,151,1
0,0,0,0,0,1,0,1,2,152,2
0,0,0,0,0,1,0,1,2,153,3
0,0,0,0,0,1,0,1,2,154,4
0,0,0,0,0,1,0,1,2,155,6
0,0,0,0,0,1,0,2,0,156,0
0,0,0,0,0,1,0,2,0,157,1
0,0,0,0,0,1,0,2,0,158,2
0,0,0,0,0,1,0,2,0,159,3
0,0,0,0,0,1,0,2,0,160,4
0,0,0,0,0,1,0,2,0,161,6
0,0,0,0,0,1,0,2,0,162,8
0,0,0,0,0,1,0,2,1,163,0
0,0,0,0,0,1,0,2,1,164,1
0,0,0,0,0,1,0,2,1,165,2
0,0,0,0,0,1,0,2,1,166,3
0,0,0,0,0,1,0,2,1,167,4
0,0,0,0,0,1,0,2,1,168,6
0,0,0,0,0,1,0,2,2,169,0
0,0,0,0,0,1,0,2,2,170,1
0,0,0,0,0,1,0,2,2,171,2
0,0,0,0,0,1,0,2,2,172,3
